#INFO,Version=0.0.2,Template= eBay-draft-listings-template_US,,,,,,,,
Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),Custom label (SKU),Category ID,Title,UPC,Price,Quantity,Item photo URL,Condition ID,Description,C:Artist
Draft,38SPECIAL-ROCKININTOTHEN-VINYL,176985,38 Special  - Rockin Into the Night,,8.99,1,https://i.ibb.co/N6rTQ2tf/PXL-20251017-024128624.jpg,3000,38 Special  - Rockin Into the Night,38 Special
Draft,THENEWCHRISTYM-GREATESTHITS-VIN,176985,The New Christy Minstrels - Greatest Hits,,2.99,1,https://i.ibb.co/WNWhvq4P/PXL-20251017-024136394.jpg,3000,The New Christy Minstrels - Greatest Hits,The New Christy Minstrels
Draft,TRACYNELSON-POORMAN'SPARAD-VINY,176985,Tracy Nelson - Poor Man's Paradise,,4.99,1,https://i.ibb.co/R4jK9hfV/PXL-20251017-024144529.jpg,3000,Tracy Nelson - Poor Man's Paradise,Tracy Nelson
Draft,THESANDPIPERS-GUANTANAMERA-VINY,176985,The Sandpipers - Guantanamera,,2.99,1,https://i.ibb.co/ks9wk5Kj/PXL-20251017-024207015.jpg,3000,The Sandpipers - Guantanamera,The Sandpipers
Draft,THESHIRELLES-GREATESTHITS-VINYL,176985,The Shirelles - Greatest Hits,,2.49,1,https://i.ibb.co/jvVgmvdb/PXL-20251017-024217064.jpg,3000,The Shirelles - Greatest Hits,The Shirelles
Draft,SOUTHSIDEJOHNN-HAVINAPARTYWIT-V,176985,Southside Johnny - Havin a party with,,2.99,1,https://i.ibb.co/fdQzKyBZ/PXL-20251017-024224198.jpg,3000,Southside Johnny - Havin a party with,Southside Johnny
Draft,SHAKATAKALJARR-DAYBYDAY-VINYL,176985,Shakatak Al Jarreau - Day By Day,,3.99,1,https://i.ibb.co/JWf4G7M2/PXL-20251017-024232819.jpg,3000,Shakatak Al Jarreau - Day By Day,Shakatak Al Jarreau
Draft,STEVEWARINER-VINYL,176985,Steve Wariner,,7.99,1,https://i.ibb.co/d4Zbx8DP/PXL-20251017-024239934.jpg,3000,Steve Wariner,
Draft,ANDRESEGOVIA-ANEVENINGWITH-VINY,176985,Andre Segovia - An Evening With,,3.99,1,https://i.ibb.co/kN3PG9N/PXL-20251017-024246861.jpg,3000,Andre Segovia - An Evening With,Andre Segovia
Draft,SUPERSTARCOLLECTION-VINYL,176985,Super Star Collection,,3.49,1,https://i.ibb.co/R4PGThfH/PXL-20251017-024301810.jpg,3000,Super Star Collection,
Draft,SHANANA-HOTSOX-VINYL,176985,Shanana - Hot Sox,,2.99,1,https://i.ibb.co/B5rHLd1q/PXL-20251017-024319791.jpg,3000,Shanana - Hot Sox,Shanana
Draft,THESTATLERBROT-FLOWERSONTHEWA-V,176985,The Statler Brothers - Flowers on the Wall,,5.99,1,https://i.ibb.co/vCvvyJpv/PXL-20251017-024329714.jpg,3000,The Statler Brothers - Flowers on the Wall,The Statler Brothers
Draft,SANDYNELSON-BEATTHATDRUM-VINYL,176985,Sandy Nelson - Beat that Drum,,3.49,1,https://i.ibb.co/fYrqXC8C/PXL-20251017-024345975.jpg,3000,Sandy Nelson - Beat that Drum,Sandy Nelson
Draft,SWEETHONEYINTH-GOODNEWS-VINYL,176985,Sweet Honey In The Rock - Good News,,3.99,1,https://i.ibb.co/GvtmfbFZ/PXL-20251017-024354984.jpg,3000,Sweet Honey In The Rock - Good News,Sweet Honey In The Rock
Draft,SEALEVEL-CATSONTHECOAST-VINYL,176985,Sealevel - Cats on the Coast,,2.99,1,https://i.ibb.co/hxjHK9HY/PXL-20251017-024404885.jpg,3000,Sealevel - Cats on the Coast,Sealevel
Draft,SHIRLEYBASSEY-LIVEATCARNEGIE-VI,176985,Shirley Bassey - Live at Carnegie Hall,,3.99,1,https://i.ibb.co/bRFZFdD8/PXL-20251017-024417206.jpg,3000,Shirley Bassey - Live at Carnegie Hall,Shirley Bassey
Draft,SHANANA-THEBESTOF-VINYL,176985,Shanana - The Best Of,,2.99,1,https://i.ibb.co/4gM9WKr5/PXL-20251017-024426988.jpg,3000,Shanana - The Best Of,Shanana
Draft,SONNYJAMES-THEMINUTEYOU'R-VINYL,176985,Sonny James - The Minute You're Gone,,2.99,1,https://i.ibb.co/99wgDHY5/PXL-20251017-024438481.jpg,3000,Sonny James - The Minute You're Gone,Sonny James
Draft,SHANGRI-LASGOLDENHITSOF-VINYL,176985,Shangri-Las Golden Hits Of,,19.99,1,https://i.ibb.co/5xnBG9gy/PXL-20251017-024447780.jpg,3000,Shangri-Las Golden Hits Of,Shangri
Draft,THESTEVEGIBBON-ROLLINON-VINYL,176985,The Steve Gibbons Band - Rollin On,,2.49,1,https://i.ibb.co/BKSLtkCS/PXL-20251017-024510011.jpg,3000,The Steve Gibbons Band - Rollin On,The Steve Gibbons Band
Draft,SANDYBULL-EPLURIBUSUNUM-VINYL,176985,Sandy Bull - E Pluribus Unum,,12.99,1,https://i.ibb.co/0yfgkVvY/PXL-20251017-024518157.jpg,3000,Sandy Bull - E Pluribus Unum,Sandy Bull
Draft,ITALYTODAY-SILVERIOPISU-VINYL,176985,Italy Today - Silverio Pisu,,8.99,1,https://i.ibb.co/twhp3xBT/PXL-20251017-024527283.jpg,3000,Italy Today - Silverio Pisu,Italy Today
Draft,SINGINGNUN-HERJOYHERSONGS-VINYL,176985,Singing Nun - Her Joy Her Songs,,3.49,1,https://i.ibb.co/zVT70Wy4/PXL-20251017-024544314.jpg,3000,Singing Nun - Her Joy Her Songs,Singing Nun
Draft,STEVEYOUNG--RENEGADEPICKE-VINYL,176985,Steve Young -  - Renegade Picker,,7.99,1,https://i.ibb.co/sJcsK8Mg/PXL-20251017-024553972.jpg,3000,Steve Young -  - Renegade Picker,Steve Young
Draft,SIZENTNER-BESTOF-VINYL,176985,Si Zentner - Best of,,3.49,1,https://i.ibb.co/NgrP2RH3/PXL-20251017-024602768.jpg,3000,Si Zentner - Best of,Si Zentner
Draft,THESIEGELSCHWA-THESIEGELSCHWA-V,176985,The Siegel Schwall Band - The Siegel Schwall Band,,3.99,1,https://i.ibb.co/FLvvbsHt/PXL-20251017-024613384.jpg,3000,The Siegel Schwall Band - The Siegel Schwall Band,The Siegel Schwall Band
Draft,SOLAR-GALAXYOFSTARSL-VINYL,176985,Solar - Galaxy of stars Live,,12.99,1,https://i.ibb.co/7t7g6hLf/PXL-20251017-024622573.jpg,3000,Solar - Galaxy of stars Live,Solar
Draft,RUDYVALLEE-ISTHISYOUR-VINYL,176985,Rudy Vallee - Is This Your,,4.99,1,https://i.ibb.co/TDK1BNvs/PXL-20251017-024642235.jpg,3000,Rudy Vallee - Is This Your,Rudy Vallee
Draft,ROBERTPALMER-SECRETS-VINYL,176985,Robert Palmer - Secrets,,2.99,1,https://i.ibb.co/k2hqhPxW/PXL-20251017-024650178.jpg,3000,Robert Palmer - Secrets,Robert Palmer
Draft,ROMANGUITAR-TONYMOTTOLA-VINYL,176985,Roman Guitar - Tony Mottola,,2.49,1,https://i.ibb.co/21D94Htp/PXL-20251017-024708147.jpg,3000,Roman Guitar - Tony Mottola,Roman Guitar
